Response ID,Select which type of data to enter:,Outreach team member:,Date of contact:,Stakeholder's name and title:,How did they hear about the program?,Other (please specify):How did they hear about the program?,Is this stakeholder a new contact?,Who initiated the contact?,Method of interaction:,Stakeholder type:,Other (please specify)::Stakeholder type:,Was a feedback form distributed?:Complete the following:,Did the stakeholder request information?:Complete the following:,Was the stakeholder given program materials during the interaction?:Complete the following:,Date range of submission(s):,Facebook posts:Number of social media postings submitted:,Tweets:Number of social media postings submitted:,Full-length videos:Number of social media postings submitted:,Digital shorts:Number of social media postings submitted:,Livestreaming:Number of social media postings submitted:,Name of video (if applicable):,Outreach team member:,Name of event or distribution:,Date of event or distribution:,Event or distribution type:,Other (please specify):Event or distribution type:,Workforce:Number of participants:,Business:Number of participants:,CAC/CDCAB members:Number of participants:,Civic/church group members:Number of participants:,CSEPP Immediate Reaction Zone residents:Number of participants:,Elected officials:Number of participants:,Emergency management:Number of participants:,Local schools:Number of participants:,Media:Number of participants:,Oversight/regulatory agency members:Number of participants:,CSEPP Protective Action Zone residents:Number of participants:,Other:Number of participants:,Number:Information packets distributed:Complete the following:,Number:Feedback forms distributed:Complete the following:,Number:Feedback forms collected:Complete the following:
142,Social media submission,,,,,,,,,,,,,,12/14/16,1,1,,,,Note: for Blue Grass Team Donates to Benefit Soldiers news article,,,,,,,,,,,,,,,,,,,,
143,Social media submission,,,,,,,,,,,,,,12/15/16,1,1,1,,,Note: Kentucky Chemical Weapons Destruction: 2016 Year in Review video,,,,,,,,,,,,,,,,,,,,
144,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Blue Grass Medical Staff Goes to 24/7 Response,12/16/16,News Article,,,,,,,,,,,,,0,0,0,0
145,Social media submission,,,,,,,,,,,,,,12/16/16,1,1,,,,Note: for Blue Grass Medical Staff Goes to 24/7 Response article,,,,,,,,,,,,,,,,,,,,
146,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Kentucky Chemical Demilitarization Citizens' Advisory Commission (CAC) and Chemical Destruction Community Advisory Board (CDCAB) Meeting Rebroadcast,12/16/16,Digital communications distribution,,35,,30,,,2,,,,,,,0,0,0
147,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,CAC/CDCAB,12/14/16,CAC/CDCAB (or subcommittee)/advisory board meeting,,20,,20,,,2,2,,,15,,,59,59,3
148,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,CAC/CDCAB Media Advisory,12/13/16,News release,,8,,,,,,,,44,,,,0,0,0
149,Individual contact,Team Member 1,12/16/16,"Name LastName, Title ",Outreach event,,Yes,The outreach team,Telephone,Elected official,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Individual contact,Team Member 3,12/14/16,"Name LastName, Title ",Outreach event,,Yes,The stakeholder,Telephone,Elected official,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Individual contact,Team Member 4,12/16/16,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Individual contact,Team Member 1,12/15/16,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,Business,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Individual contact,Team Member 2,12/13/16,"Name LastName, Title ",Outreach event,,No,The stakeholder,In-person,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Individual contact,Team Member 4,12/12/16,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Oversight/regulatory agency member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Social media submission,,,,,,,,,,,,,,12/15/2016 - 12/31/2016,13,13,,,,,,,,,,,,,,,,,,,,,,,,
156,Social media submission,,,,,,,,,,,,,,12/15/16,1,,,,,Note: for ad hoc Facebook: Pueblo Chemical Depot commander visit,,,,,,,,,,,,,,,,,,,,
157,Event or information distribution,,,,,,,,,,,,,,MM/DD/2016 or MM/DD/2016 - MM/DD/2016,,,,,,,Team Member 1,News clipping,12/14/16,Digital communications distribution,,35,,30,,,6,6,,,20,,,0,0,0
158,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Blue Grass Explosive Destruction Technology Postponed,12/21/16,News Article,,,,,,,,,,,,,0,0,0,0
159,Social media submission,,,,,,,,,,,,,,12/21/16,1,1,,,,Note: for Blue Grass Explosive Destruction Technology Postponed,,,,,,,,,,,,,,,,,,,,
160,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,"Blue Grass Plant Leaders Track Year's Progress, Preview 2017",12/21/16,News Article,,,,,,,,,,,,,0,0,0,0
161,Social media submission,,,,,,,,,,,,,,12/21/16,1,1,,,,"Note: for Blue Grass Plant Leaders Track Year's Progress, Preview 2017 news article",,,,,,,,,,,,,,,,,,,,
162,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,BGCAPP Project Update email distribution,10/31/16,Workforce event,,955,,,,,,,,,,,,0,0,0
163,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,BGCAPP Bulletiin newsletter,12/20/16,Digital communications distribution,,1016,,,,,,,,,,,5,0,0,0
164,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,"Blue Grass Boiler Passes Start-Up Test, Now Online",12/21/16,News Article,,,,,,,,,,,,,0,0,0,0
165,Social media submission,,,,,,,,,,,,,,12/21/16,1,1,,,,"Note: for Blue Grass Boiler Passes Start-Up Test, Now Online news article",,,,,,,,,,,,,,,,,,,,
166,Social media submission,,,,,,,,,,,,,,12/14/16,,,,,1,CAC/CDCAB Meeting,,,,,,,,,,,,,,,,,,,,
167,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News Clipping,12/21/16,Digital communications distribution,,35,,30,,,6,6,,,20,,,0,0,0
168,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,This Month at BGCAPP дус December 2016,12/30/16,Digital communications distribution,,1218,12,30,448,375,15,10,5,,25,181,,0,0,0
169,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Blue Grass Bulletin Newsletter,11/30/16,Digital communications distribution,,1060,,,,,,,,,,,5,0,0,0
170,Individual contact,Team Member 4,12/22/16,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Individual contact,Team Member 1,12/19/16,"Name LastName, Title ",Outreach event,,No,The outreach team,Telephone,Business,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Individual contact,Team Member 1,1/19/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Kentucky Chemical Demilitarization Citizens' Advisory Commission (CAC) and Chemical Destruction Community Advisory Board (CDCAB) Meeting Summary,1/3/17,Digital communications distribution,,35,,30,,,6,6,,,20,,,0,0,0
174,Individual contact,Team Member 1,1/5/17,"Name LastName, Title ",Friend/family/coworker/neighbor,,Yes,The outreach team,Telephone,Business,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Individual contact,Team Member 2,1/5/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Individual contact,Team Member 4,1/3/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Individual contact,Team Member 4,12/31/16,"Name LastName, Title ",Social Media,,No,The stakeholder,Digital communication,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Social media submission,,,,,,,,,,,,,,01/01/2017 - 01/15/2017,9,9,,,,,,,,,,,,,,,,,,,,,,,,
179,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News clipping,1/2/17,Digital communications distribution,,35,,30,,,6,6,,,20,,,0,0,0
180,Individual contact,Team Member 1,1/13/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,Business,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Individual contact,Team Member 1,1/13/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,Business,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Individual contact,Team Member 2,1/12/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Individual contact,Team Member 3,1/11/17,"Name LastName, Title ",Outreach event,,Yes,The outreach team,Digital communication,Civic/church group member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Individual contact,Team Member 4,1/9/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Individual contact,Team Member 4,1/9/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Richmond Chamber Legislative Breakfast,1/12/17,Networking event,,1,16,2,,,6,,,,,,,0,0,0
187,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Madison County School Board,1/12/17,Networking event,,2,,,,,,,15,,,,,0,0,0
188,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Commerce Lexington annual dinner,1/26/17,Networking event,,7,900,,25,,10,,,,,,,0,0,0
189,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Madison County Circuit Court Judges and Personnel,1/26/17,Tour,,4,,,,,6,,,,,,,0,6,5
190,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Engineers Week Invitation,1/23/17,Digital communications distribution,,,,,,,,,30,,,,,0,0,0
191,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,"Program Executive Office, Assembled Chemical Weapons Alternatives (PEO ACWA) Quarterly Brief",1/23/17,Digital communications distribution,,59,,30,,,10,10,,,30,,,0,0,0
192,Individual contact,Team Member 4,1/26/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Elected official,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Individual contact,Team Member 4,1/27/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Individual contact,Team Member 2,1/27/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Individual contact,Team Member 4,1/24/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Telephone,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Individual contact,Team Member 2,1/24/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Individual contact,Team Member 2,1/24/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Individual contact,Team Member 2,1/24/17,"Name LastName, Title ",Outreach event,,Yes,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Individual contact,Team Member 2,1/24/17,"Name LastName, Title ",Outreach event,,Yes,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Individual contact,Team Member 2,1/24/17,"Name LastName, Title ",Outreach event,,Yes,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,PEO ACWA Weekly News Clips,1/23/17,Digital communications distribution,,291,,,,,,2,,,7,,,0,0,0
202,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,PEO ACWA Weekly News Clips,1/16/17,Digital communications distribution,,291,,,,,,2,,,7,,,0,0,0
203,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,PEO ACWA Weekly News Clips,1/9/17,Digital communications distribution,,291,,,,,,2,,,7,,,0,0,0
204,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Blue Grass Team Pressure Tests Piping,1/25/17,News Article,,,,,,,,,,,,,0,0,0,0
205,Social media submission,,,,,,,,,,,,,,1/25/17,1,1,,,,Note: for Blue Grass Team Pressure Tests Piping news article,,,,,,,,,,,,,,,,,,,,
206,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,News clipping,1/25/17,Digital communications distribution,,35,,30,,,6,6,,,20,,,0,0,0
207,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,News clipping,1/24/17,Digital communications distribution,,35,,30,,,6,6,,,25,,,0,0,0
208,Individual contact,Team Member 4,1/18/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Individual contact,Team Member 4,1/17/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News Clipping,1/12/17,Digital communications distribution,,35,,30,,,6,6,,,25,,,0,0,0
211,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,BGCAPP workforce message,1/30/17,Workforce event,,872,,,,,,,,,,,,0,0,0
212,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Bluegrass Tomorrow annual awards,1/31/17,Networking event,,7,150,1,,,1,,,,,,,0,0,0
213,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Heart Association Breakfast,2/1/17,Networking event,,5,30,,,,,,,,,,,0,0,0
214,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Richmond State-of-the-City Address,2/2/17,Networking event,,,100,,,,6,,,,,,,0,0,0
215,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,This Month at BGCAPP дус January 2017,1/31/17,Digital communications distribution,,1560,68,30,98,357,15,25,3,,30,164,,0,0,0
216,Individual contact,Team Member 4,1/30/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,Elected official,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Individual contact,Team Member 2,2/3/17,"Name LastName, Title ",Outreach event,,Yes,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Individual contact,Team Member 1,2/2/17,"Name LastName, Title ",Outreach event,,Yes,The outreach team,Digital communication,Business,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Individual contact,Team Member 2,2/1/17,"Name LastName, Title ",Outreach event,,Don't know,The outreach team,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Individual contact,Team Member 1,2/1/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Telephone,Business,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Individual contact,Team Member 1,1/31/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Telephone,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Individual contact,Team Member 2,1/31/17,"Name LastName, Title ",Outreach event,,Yes,The stakeholder,Digital communication,Civic/church group member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Individual contact,Team Member 2,1/31/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Social media submission,,,,,,,,,,,,,,02/01/2017 - 02/15/2017,6,6,,,,,,,,,,,,,,,,,,,,,,,,
225,Social media submission,,,,,,,,,,,,,,2/2/17,1,1,,,,Note: for Blue Grass Army Depot to Continue After Chemical Weapons Destruction article,,,,,,,,,,,,,,,,,,,,
226,Social media submission,,,,,,,,,,,,,,2/3/17,1,2,,,,Note: for Army Environmental Team Visits Blue Grass Plant article,,,,,,,,,,,,,,,,,,,,
227,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News Clipping,1/31/17,Digital communications distribution,,35,,30,,,6,6,,,15,,,0,0,0
228,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,PEO ACWA Weekly News Clips,1/30/17,Digital communications distribution,,391,,,,,,2,,,7,,,0,0,0
229,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Bluegrass Tomorrow,1/31/17,Networking event,,5,250,1,,,4,,,,,,,0,0,0
230,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Officials: Kentucky Depot Has Lasting Mission,1/26/17,News Article,,,,,,,,,,,,,0,0,0,0
231,Social media submission,,,,,,,,,,,,,,1/25/17,1,1,,,,Note: for Officials: Kentucky Depot Has Lasting Mission news article,,,,,,,,,,,,,,,,,,,,
232,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Army Environmental Assessment Team Visits Blue Grass Plant,2/2/17,News Article,,,,,,,,,,,,,0,0,0,0
233,Social media submission,,,,,,,,,,,,,,2/2/17,1,1,,,,Note: for Army Environmental Assessment Team Visits Blue Grass Plant news article,,,,,,,,,,,,,,,,,,,,
234,Social media submission,,,,,,,,,,,,,,01/16/2017 - 01/31/2017,7,7,,,,,,,,,,,,,,,,,,,,,,,,
235,Social media submission,,,,,,,,,,,,,,1/15/17,3,,,,,Note: Posts for TOCDF Anniversary,,,,,,,,,,,,,,,,,,,,
236,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Blue Grass Bulletin,1/31/17,Digital communications distribution,,964,,,,,,,,,,,6,0,0,0
239,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Richmond Chamber Kickoff,2/6/17,Information booth/exhibit,,1,175,1,,,,,,,,,,0,0,0
240,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Fayette County Science Fair,2/10/17,Networking event,,4,,,,,,,10,,,,,0,0,0
241,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Fayette County Science Fair,2/11/17,Networking event,,7,,,,,,2,250,2,,,,0,0,0
242,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Kentucky Chemical Demilitarization Citizens' Advisory Commission (CAC) and Chemical Destruction Community Advisory Board (CDCAB) Meeting Advertisements - The Richmond Register,2/8/17,Advertisement,,,,,,,,,,0,,,,0,0,0
243,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Kentucky Chemical Demilitarization Citizens' Advisory Commission (CAC) and Chemical Destruction Community Advisory Board (CDCAB) Meeting Advertisements - The Berea Citizen,2/8/17,Advertisement,,,,,,,,,,0,,,,0,0,0
244,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Kentucky Chemical Demilitarization Citizens' Advisory Commission (CAC) and Chemical Destruction Community Advisory Board (CDCAB) Meeting Advertisements - PSA,2/8/17,Advertisement,,,,,,,,,,0,,,,0,0,0
245,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Kentucky Chemical Demilitarization Citizens' Advisory Commission (CAC) and Chemical Destruction Community Advisory Board (CDCAB) Meeting Advertisements - Local Cable,2/8/17,Advertisement,,,,,,,,,,0,,,,0,0,0
246,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,CAC/CDCAB Meeting Reminder,2/8/17,Digital communications distribution,,35,,30,,,10,6,,,,,,0,0,0
247,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Waco Elementary School - I,2/8/17,Education Outreach Event,,,,,,,,,25,,,,,0,0,0
248,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Waco Elementary School - II,2/8/17,Education Outreach Event,,,,,,,,,25,,,,,0,0,0
249,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Waco Elementary School - III,2/8/17,Education Outreach Event,,,,,,,,,25,,,,,0,0,0
250,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Richmond Chamber of Commerce Annual Kick-off Meeting,2/6/17,Information booth/exhibit,,3,50,,,,,,,,,,,5,0,0
251,Individual contact,Team Member 1,2/9/17,"Name LastName, Title ",Outreach event,,Yes,The outreach team,Telephone,Civic/church group member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Individual contact,Team Member 3,2/9/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Telephone,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Individual contact,Team Member 1,2/8/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,Business,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Individual contact,Team Member 4,2/8/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Individual contact,Team Member 2,2/6/17,"Name LastName, Title ",Outreach event,,Don't know,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Individual contact,Team Member 2,2/6/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Individual contact,Team Member 4,2/6/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Oversight/regulatory agency member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Social media submission,,,,,,,,,,,,,,2/7/17,3,,,,,Note: for  Aberdeen Chemical Agent Disposal Facility end-of-operations anniversary,,,,,,,,,,,,,,,,,,,,
265,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Leadership Central Kentucky,2/15/17,Tour,,,21,,,,,,,,,,,0,21,19
266,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Organisation for the Prohibition of Chemical Weapons (OPCW) Executive Council (EC) Meet and Greet Invitation,2/15/17,Digital communications distribution,,20,,30,,,8,6,,,11,,,0,0,0
267,Individual contact,Team Member 1,2/16/17,"Name LastName, Title ",Outreach event,,Yes,The stakeholder,Digital communication,Elected official,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Individual contact,Team Member 2,2/18/17,"Name LastName, Title ",Outreach event,,Yes,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Individual contact,Team Member 2,2/17/17,"Name LastName, Title ",Friend/family/coworker/neighbor,,No,The stakeholder,Outreach office visitor/walk-in,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Individual contact,Team Member 2,2/17/17,"Name LastName, Title ",Outreach event,,Yes,The outreach team,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Individual contact,Team Member 2,2/15/17,"Name LastName, Title ",Outreach event,,No,The outreach team,In-person,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Individual contact,Team Member 3,2/15/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Telephone,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Individual contact,Team Member 1,2/15/17,"Name LastName, Title ",Friend/family/coworker/neighbor,,No,The stakeholder,Outreach office visitor/walk-in,Business,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Individual contact,Team Member 4,2/14/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Blue Grass Paramedics Earn Army Recognition,2/16/17,News Article,,,,,,,,,,,,,0,0,0,0
277,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Blue Grass Teams Work Together to Save Project Money,2/16/17,News Article,,,,,,,,,,,,,0,0,0,0
279,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Kentucky CSEPP Integrated Process Team Meeting,2/15/17,Briefing/presentation,,,,,,,,20,,,,,,0,0,0
280,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Richmond Chamber of Commerce Board of Directors,2/15/17,Briefing/presentation,,,15,,,,,,,,,,,15,0,0
281,Social media submission,,,,,,,,,,,,,,2/17/17,1,1,,1,,Note: Meet Boiler Betty,,,,,,,,,,,,,,,,,,,,
282,Social media submission,,,,,,,,,,,,,,2/17/17,1,1,,1,,Note: for Piping Pressure Builds at the Blue Grass Plant,,,,,,,,,,,,,,,,,,,,
283,Social media submission,,,,,,,,,,,,,,02/20/2017 - 02/24/2017,8,8,,,,,,,,,,,,,,,,,,,,,,,,
284,Social media submission,,,,,,,,,,,,,,02/16/2017 - 02/28/2017,8,8,,,,,,,,,,,,,,,,,,,,,,,,
285,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,The Family Center,2/18/17,Education Outreach Event,,,,,,,,,23,,,,,0,0,0
286,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,U.S. Army Safety and Occupational Health Course,2/23/17,Tour,,,,,,,,,32,,,,,0,32,26
287,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Paint Lick Elementary School - I,2/21/17,Education Outreach Event,,,,,,,,,21,,,,,0,0,0
288,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Paint Lick Elementary School,2/21/17,Education Outreach Event,,,,,,,,,21,,,,,0,0,0
289,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Paint Lick Elementary School,2/21/17,Education Outreach Event,,,,,,,,,21,,,,,0,0,0
290,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Shannon Johnson Elementary School - I,2/20/17,Education Outreach Event,,,,,,,,,27,,,,,0,0,0
291,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Shannon Johnson Elementary School - II,2/20/17,Education Outreach Event,,,,,,,,,26,,,,,0,0,0
292,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Shannon Johnson Elementary School - III,2/20/17,Education Outreach Event,,,,,,,,,26,,,,,0,0,0
293,Individual contact,Team Member 1,2/23/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Telephone,Elected official,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Individual contact,Team Member 1,2/23/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Elected official,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Individual contact,Team Member 4,2/24/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Individual contact,Team Member 4,2/23/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
