Response ID,Select which type of data to enter:,Outreach team member:,Date of contact:,Stakeholder's name and title:,How did they hear about the program?,Other (please specify):How did they hear about the program?,Is this stakeholder a new contact?,Who initiated the contact?,Method of interaction:,Stakeholder type:,Other (please specify)::Stakeholder type:,Was a feedback form distributed?:Complete the following:,Did the stakeholder request information?:Complete the following:,Was the stakeholder given program materials during the interaction?:Complete the following:,Date range of submission(s):,Facebook posts:Number of social media postings submitted:,Tweets:Number of social media postings submitted:,Full-length videos:Number of social media postings submitted:,Digital shorts:Number of social media postings submitted:,Livestreaming:Number of social media postings submitted:,Name of video (if applicable):,Outreach team member:,Name of event or distribution:,Date of event or distribution:,Event or distribution type:,Other (please specify):Event or distribution type:,Business & economic development group members:Number of participants:,CAC/Working Group members:Number of participants:,Citizen board/commission members:Number of participants:,Community advocacy/Non-profit:Number of participants:,Elected and Government-appointed officials:Number of participants:,Emergency management:Number of participants:,Community members:Number of participants:,Education community:Number of participants:,Media:Number of participants:,Oversight/regulatory agency members:Number of participants:,Workforce:Number of participants:,Other:Number of participants:,Number:Information packets distributed:Complete the following:,Number:Feedback forms distributed:Complete the following:,Number:Feedback forms collected:Complete the following:
155,Individual contact,Team Member 2,12/1/16,"name lastname, titles",Friend/family/coworker/neighbor,,No,The stakeholder,Digital communication,CAC member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,12/2/16,Digital communications distribution,,,1,,,1,4,,,,15,45,,0,0,0
157,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,12/5/16,Digital communications distribution,,,1,,,1,4,,,,14,46,,0,0,0
158,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,11/28/16,News article,,,1,,,1,4,,,,14,46,,0,0,0
161,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,12/12/16,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
162,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,12/5/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
163,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,12/6/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
164,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,12/7/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
165,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,12/8/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
166,Social media posting submission,,,,,,,,,,,,,,12/8/16,1,1,1,,,Colorado Chemical Weapons Destruction: 2016 Year in Review,,,,,,,,,,,,,,,,,,,,
167,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Colorado State CSEPP IPT,12/14/16,Briefing/update,,,,,,,37,,,,,,,0,0,0
168,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,PWG Meeting,12/14/16,CAC (or CAC subcommittee)/advisory board meeting,,,4,,,,,2,,,5,10,,0,0,0
169,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,BUG Meeting,12/14/16,CAC (or CAC subcommittee)/advisory board meeting,,,4,,,,,2,,,5,10,,0,0,0
170,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,12/19/16,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
171,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,12/12/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
172,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,12/13/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
173,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,12/14/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
174,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,12/15/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
175,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Welcome Message,12/14/16,Workforce event,,,,,,,,,,,,1,,1,0,0
176,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Southern Colorado Press Club Mixer,12/13/16,Networking event,,10,,,,,,,3,4,,1,,0,0,0
177,Individual contact,Team Member 1,12/13/16,"name lastname, titles",Don't know - did not ask,,Yes,The outreach team,In-person,Media,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,news article: Operations Paused at Pueblo Pilot Plant,12/2/16,News article,,,,,,,,,,,,,0,0,0,0
179,Social media posting submission,,,,,,,,,,,,,,12/2/16,1,1,,,,,,,,,,,,,,,,,,,,,,,,
180,Social media posting submission,,,,,,,,,,,,,,12/16/2016-12/31/2016,8,8,,,,,,,,,,,,,,,,,,,,,,,,
181,Social media posting submission,,,,,,,,,,,,,,12/1/16,,,,1,,Robotic Systems Washout Chemical Munitions in Coloardo,,,,,,,,,,,,,,,,,,,,
182,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,First Presbyterian Men's Group presentation,12/6/16,Briefing/update,,,,,13,,,,,,,,,13,13,12
183,Individual contact,Team Member 3,12/9/16,"name lastname, titles",Outreach event,,No,The stakeholder,In-person,Local school,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,"news article: Heat Reduces Equipment, Waste Contamination at Pilot Plant",12/14/16,News article,,,,,,,,,,,,,0,0,0,0
185,Social media posting submission,,,,,,,,,,,,,,12/14/16,1,1,,,,,,,,,,,,,,,,,,,,,,,,
186,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,CAC Meeting,12/14/16,CAC (or CAC subcommittee)/advisory board meeting,,2,6,,1,,3,8,,,5,9,,0,0,0
187,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Outreach Overview presentation to CAC,12/14/16,Briefing/update,,2,6,,1,,3,8,,,5,9,,0,0,0
188,Social media posting submission,,,,,,,,,,,,,,01/01/2017-01/15/2017,7,7,,,,,,,,,,,,,,,,,,,,,,,,
189,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Message to Stakeholders,12/8/16,Digital communications distribution,,60,10,32,32,22,89,284,56,49,3,60,1350,0,0,0
190,Individual contact,Team Member 2,12/9/16,"name lastname, titles",Friend/family/coworker/neighbor,,Yes,The outreach team,Telephone,Business & economic development group member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Individual contact,Team Member 2,12/5/16,"name lastname, titles",Newspaper,,Yes,The stakeholder,Outreach office visitor/walk-in,Media,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,12/2/16,Digital communications distribution,,,1,,,1,4,,,,14,46,,0,0,0
193,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,12/3/16,Digital communications distribution,,,1,,,1,4,,,,14,46,,0,0,0
194,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,12/5/16,Digital communications distribution,,,1,,,1,4,,,,14,46,,0,0,0
195,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,12/8/16,Digital communications distribution,,,1,,,1,4,,,,14,46,,0,0,0
196,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,12/9/16,Digital communications distribution,,,1,,,1,4,,,,14,46,,0,0,0
197,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,12/10/16,Digital communications distribution,,,1,,,1,4,,,,14,46,,0,0,0
198,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Colorado CAC Live Streaming Video Distribution,12/15/16,Digital communications distribution,,,9,,,1,,,,,,15,,0,0,0
199,Individual contact,Team Member 2,12/16/16,"name lastname, titles",Friend/family/coworker/neighbor,,No,The stakeholder,Digital communication,CAC member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Individual contact,Team Member 2,12/12/16,"name lastname, titles",Friend/family/coworker/neighbor,,No,The outreach team,Digital communication,Business & economic development group member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,12/14/16,Digital communications distribution,,,1,,,1,4,,,,14,46,,0,0,0
202,Individual contact,Team Member 2,11/16/16,"name lastname, titles",Friend/family/coworker/neighbor,,Yes,The stakeholder,Outreach office visitor/walk-in,Business & economic development group member,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Individual contact,Team Member 2,12/28/16,"name lastname, titles",Friend/family/coworker/neighbor,,Yes,The stakeholder,Outreach office visitor/walk-in,PCAPP workforce member,,N/A,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Information Distribution: This Month at PCAPP - December 2016,12/30/16,Digital communications distribution,,126,10,35,35,32,54,579,2,6,48,2306,,0,0,0
205,Individual contact,Team Member 2,12/30/16,"name lastname, titles",Friend/family/coworker/neighbor,,No,The outreach team,Digital communication,Emergency management,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Individual contact,Team Member 2,12/30/16,"name lastname, titles",Friend/family/coworker/neighbor,,Yes,The stakeholder,Outreach office visitor/walk-in,Local community member,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Social media posting submission,,,,,,,,,,,,,,12/14/16,,,,,1,,,,,,,,,,,,,,,,,,,,,
208,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Risk Communication Network Quarterly Meeting,10/11/16,Networking event,,,,,,,25,,,,,,,0,0,0
209,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Pueblo Cooperative Care Center Turkey Give-Away,11/18/16,Networking event,,,,,,,,200,,,,,,0,0,0
210,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Pueblo Cooperative Care Center Board of Directors Meeting,12/7/16,Networking event,,,,,12,,,,,,,,,0,0,0
211,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,CSU-Pueblo Alumni Association Holiday Party,12/6/16,Networking event,,,,,,,,,,25,,,,0,0,0
212,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Welcome Message to new employees,12/19/16,Workforce event,,,,,,,,,,,,4,,4,0,0
213,Individual contact,Team Member 1,12/29/16,"name lastname, titles",Don't know - did not ask,,No,The outreach team,Digital communication,Oversight/regulatory agency member,,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Individual contact,Team Member 1,12/27/16,"name lastname, titles",Don't know - did not ask,,No,The outreach team,Digital communication,Media,,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Individual contact,Team Member 1,12/21/16,"name lastname, titles",Don't know - did not ask,,No,The outreach team,Digital communication,CAC member,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Welcome Message to new employees,12/8/16,Workforce event,,,,,,,,,,,,9,,9,0,0
217,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Pueblo Cooperative Care Center Board of Directors Meeting,12/7/16,Networking event,,,,,12,,,,,,,1,,0,0,0
218,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,CSU-Pueblo Alumni Association Holiday Party,12/6/16,Networking event,,11,,,,,,2,10,,,2,,0,0,0
219,Individual contact,Team Member 1,12/7/16,"name lastname, titles",Don't know - did not ask,,No,The outreach team,Telephone,CAC member,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Individual contact,Team Member 1,12/5/16,"name lastname, titles",Don't know - did not ask,,Yes,The stakeholder,In-person,Media,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Welcome message to new PCAPP employees,12/2/16,Workforce event,,,,,,,,,,,,4,,4,0,0
222,Individual contact,Team Member 1,11/30/16,"name lastname, titles",Don't know - did not ask,,No,The stakeholder,In-person,Elected official,,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Individual contact,Team Member 1,12/2/16,"name lastname, titles",Don't know - did not ask,,No,The stakeholder,Digital communication,Media,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Individual contact,Team Member 1,12/2/16,"name lastname, titles",Don't know - did not ask,,Yes,The stakeholder,Telephone,Media,,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Information Products: PCAPP Brochures for Career Fair,12/19/16,Information packet distribution,,,,,,,,100,,,,,,100,0,0
228,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,1/1/17,Digital communications distribution,,,1,,,1,4,,,,14,46,,0,0,0
229,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,This Month at PCAPP: Dec. 2016,12/30/16,Digital communications distribution,,85,8,55,55,25,45,969,6,6,45,1934,,0,0,0
230,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,news article: 2016 Marks Start of Operations at Colorado Pilot Plant,12/29/16,News article,,,,,,,,,,,,,0,0,0,0
231,Social media posting submission,,,,,,,,,,,,,,12/29/16,2,2,,,,,,,,,,,,,,,,,,,,,,,,
232,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,news article: Plans Made to Resume Operations at Pueblo Pilot Plant,12/29/16,News article,,,,,,,,,,,,,0,0,0,0
233,Social media posting submission,,,,,,,,,,,,,,01/16/2017-01/31/2016,7,7,,,,,,,,,,,,,,,,,,,,,,,,
234,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,1/3/17,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
235,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,1/9/17,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
236,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,1/3/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
237,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,1/4/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
238,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,1/5/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
239,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,1/9/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
240,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,1/10/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
241,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,1/11/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
242,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,1/12/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
243,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,1/17/17,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
244,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,1/23/17,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
245,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,1/17/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
246,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,1/18/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
247,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,1/19/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
248,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,1/30/17,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
249,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,1/23/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
250,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,1/24/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
251,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,1/25/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
252,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,1/26/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
253,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Pueblo City Schools Annual Science and Engineering Fair Awards Ceremony,1/27/17,Networking event,,,,,,,,,200,,,1,,0,0,0
254,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Southern Colorado Press Club Board of Directors Meeting,1/27/17,Networking event,,3,,,,,,2,,3,,1,,0,0,0
255,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Class 2 Permit Modification Public Meeting,1/25/17,Public meeting,,,2,,,,,3,,,6,12,,0,0,0
256,Individual contact,Team Member 1,1/25/17,"name lastname, titles",Don't know - did not ask,,Yes,Don't know,In-person,Elected official,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Individual contact,Team Member 1,1/24/17,"name lastname, titles",Don't know - did not ask,,No,The stakeholder,Telephone,Media,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Welcome Message to new PCAPP employees,1/19/17,Workforce event,,,,,,,,,,,,3,,3,0,0
259,Individual contact,Team Member 1,1/19/17,"name lastname, titles",Don't know - did not ask,,No,The outreach team,Digital communication,Oversight/regulatory agency member,,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Individual contact,Team Member 1,1/19/17,"name lastname, titles",Don't know - did not ask,,No,The stakeholder,Digital communication,Business & economic development group member,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Welcome Message Distribution to new PCAPP employees,1/5/17,Workforce event,,,,,,,,,,,,7,,7,0,0
262,Individual contact,Team Member 1,1/4/17,"name lastname, titles",Don't know - did not ask,,Yes,The outreach team,Digital communication,Media,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Social media posting submission,,,,,,,,,,,,,,01/16/2017-01/31/2017,7,7,,,,,,,,,,,,,,,,,,,,,,,,
264,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Message to Stakeholders regarding restart of operations at PCAPP,1/9/17,Digital communications distribution,,85,8,55,55,25,45,969,6,64,45,754,,0,0,0
265,Social media posting submission,,,,,,,,,,,,,,02/01/2017-02/15/2017,13,13,,,,,,,,,,,,,,,,,,,,,,,,
266,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,news article: Pilot Testing Resumes at Colorado Chemical Demilitarization Plant,1/13/17,News article,,,,,,,,,,,,,0,0,0,0
267,Social media posting submission,,,,,,,,,,,,,,1/13/17,1,1,,,,,,,,,,,,,,,,,,,,,,,,
268,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,news article: Study: Off-Site Shipment of Hydrolysate Deemed Safe,1/23/17,News article,,,,,,,,,,,,,0,0,0,0
269,Social media posting submission,,,,,,,,,,,,,,1/23/17,1,2,,,,,,,,,,,,,,,,,,,,,,,,
270,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,PWG/BUG Meeting,1/25/17,CAC (or CAC subcommittee)/advisory board meeting,,1,2,,,,,4,,,4,12,,0,0,0
271,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,CAC Meeting,1/25/17,CAC (or CAC subcommittee)/advisory board meeting,,2,4,,,,6,7,,,4,17,,0,0,0
272,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,news article:Fluorescein Sheds Light On Decontamination Skills,1/27/17,News article,,,,,,,,,,,,,0,0,0,0
273,Social media posting submission,,,,,,,,,,,,,,1/27/17,1,2,,,,,,,,,,,,,,,,,,,,,,,,
274,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,This Month at PCAPP: January 2017,1/31/17,Digital communications distribution,,85,8,55,55,25,45,969,6,6,45,1939,,0,0,0
275,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,news article: Comment Period Open for Pueblo Plant's Record of Environmental Consideration,2/1/17,News article,,,,,,,,,,,,,0,0,0,0
276,Social media posting submission,,,,,,,,,,,,,,2/1/17,1,2,,,,,,,,,,,,,,,,,,,,,,,,
277,Social media posting submission,,,,,,,,,,,,,,02/16/2017-02/28/2017,11,11,,,,,,,,,,,,,,,,,,,,,,,,
278,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,1/8/17,Digital communications distribution,,,1,,,1,4,,,,15,45,,0,0,0
279,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,1/6/17,Digital communications distribution,,,1,,,1,4,,,,15,45,,0,0,0
280,Individual contact,Team Member 2,1/12/17,"name lastname, titles",Friend/family/coworker/neighbor,,Yes,The stakeholder,Digital communication,Media,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Individual contact,Team Member 2,1/12/17,"name lastname, titles",Friend/family/coworker/neighbor,,Yes,The stakeholder,Digital communication,Media,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Individual contact,Team Member 2,1/12/17,"name lastname, titles",Friend/family/coworker/neighbor,,Yes,The stakeholder,Digital communication,Local community member,,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Individual contact,Team Member 2,1/11/17,"name lastname, titles",Friend/family/coworker/neighbor,,No,The stakeholder,Outreach office visitor/walk-in,Local community member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,1/10/17,Digital communications distribution,,,1,,,1,4,,,,15,45,,0,0,0
285,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,1/21/17,Digital communications distribution,,,1,,,1,4,,,,15,45,,0,0,0
286,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Information Distribution: Colorado Chemical Demilitarization Citizens' Advisory Commission Live Stream Video,1/26/17,Digital communications distribution,,,8,,,2,,,,,2,12,,0,0,0
287,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Information Distribution: PEO ACWA Quarterly Brief - Final Edition,1/25/17,Digital communications distribution,,6,9,,,12,3,,,,6,1650,,0,0,0
288,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Message to Stakeholders:Pilot Testing/Budget Constraints,1/24/17,Digital communications distribution,,60,10,32,32,22,89,285,56,49,60,1350,,0,0,0
289,Individual contact,Team Member 2,1/25/17,"name lastname, titles",Friend/family/coworker/neighbor,,No,The stakeholder,In-person,Oversight/regulatory agency member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Individual contact,Team Member 2,1/25/17,"name lastname, titles",Friend/family/coworker/neighbor,,Yes,The stakeholder,In-person,Emergency management,,N/A,Yes,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Individual contact,Team Member 2,1/27/17,"name lastname, titles",Friend/family/coworker/neighbor,,Yes,The stakeholder,Outreach office visitor/walk-in,Local community member,,N/A,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Individual contact,Team Member 2,2/1/17,"name lastname, titles",Outreach event,,Yes,The stakeholder,Outreach office visitor/walk-in,Local community member,,N/A,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,1/24/17,Digital communications distribution,,,1,,,1,4,,,,14,45,,0,0,0
294,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,1/25/17,Digital communications distribution,,,1,,,1,4,,,,14,45,,0,0,0
295,Social media posting submission,,,,,,,,,,,,,,1/31/17,,,,1,,Baseline Reconfiguration: Ready-To-Process,,,,,,,,,,,,,,,,,,,,
296,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,1/30/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
297,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,1/31/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
298,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,2/1/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
299,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,2/2/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
300,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,2/6/17,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
301,Social media posting submission,,,,,,,,,,,,,,1/25/17,,,,,1,,,,,,,,,,,,,,,,,,,,,
302,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 6,Information Booth: Pueblo City Schools Science Fair (2016-2017),1/27/17,Information booth/exhibit,,,,,,,,,167,,,,,13,0,0
303,Individual contact,Team Member 2,1/26/17,"name lastname, titles",Friend/family/coworker/neighbor,,No,The outreach team,Digital communication,Oversight/regulatory agency member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Colorado Chemical Stockpile Emergency Preparedness Program (CSEPP) IPT,2/8/17,Briefing/update,,,,,,,34,,,,,,,0,0,0
305,Individual contact,Team Member 4,2/6/17,"name lastname, titles",Advertisement,,No,The outreach team,Direct mail,Media,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,2/13/17,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
308,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,2/6/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
309,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,2/7/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
310,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,2/8/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
311,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,2/9/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
312,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,news article: Solution Devised for Over-Pressurized Rounds,2/17/17,News article,,,,,,,,,,,,,0,0,0,0
313,Social media posting submission,,,,,,,,,,,,,,2/17/17,1,2,,,,,,,,,,,,,,,,,,,,,,,,
314,Social media posting submission,,,,,,,,,,,,,,03/01/2017-03/15/2017,6,6,,,,,,,,,,,,,,,,,,,,,,,,
315,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,2/21/17,Digital communications distribution,,,2,,,,3,,,,9,36,,0,0,0
